accuracy,lambdav,radid
0.62,-3.0,0.0
0.683,-2.99,0.0
0.625,-2.98,0.0
0.661,-2.97,0.0
0.644,-2.96,0.0
0.615,-2.95,0.0
0.643,-2.94,0.0
0.648,-2.93,0.0
0.631,-2.92,0.0
0.577,-2.91,0.0
0.616,-2.9,0.0
0.584,-2.89,0.0
0.61,-2.88,0.0
0.595,-2.87,0.0
0.6,-2.86,0.0
0.608,-2.85,0.0
0.619,-2.84,0.0
0.597,-2.83,0.0
0.598,-2.82,0.0
0.624,-2.81,0.0
0.631,-2.8,0.0
0.658,-2.79,0.0
0.586,-2.78,0.0
0.598,-2.77,0.0
0.657,-2.76,0.0
0.591,-2.75,0.0
0.621,-2.74,0.0
0.632,-2.73,0.0
0.638,-2.72,0.0
0.59,-2.71,0.0
0.615,-2.7,0.0
0.551,-2.69,0.0
0.56,-2.68,0.0
0.609,-2.67,0.0
0.612,-2.66,0.0
0.61,-2.65,0.0
0.624,-2.64,0.0
0.617,-2.63,0.0
0.593,-2.62,0.0
0.624,-2.61,0.0
0.599,-2.6,0.0
0.58,-2.59,0.0
0.603,-2.58,0.0
0.586,-2.57,0.0
0.621,-2.56,0.0
0.573,-2.55,0.0
0.625,-2.54,0.0
0.599,-2.53,0.0
0.648,-2.52,0.0
0.611,-2.51,0.0
0.588,-2.5,0.0
0.653,-2.49,0.0
0.591,-2.48,0.0
0.576,-2.47,0.0
0.579,-2.46,0.0
0.616,-2.45,0.0
0.588,-2.44,0.0
0.611,-2.43,0.0
0.586,-2.42,0.0
0.599,-2.41,0.0
0.587,-2.4,0.0
0.591,-2.39,0.0
0.599,-2.38,0.0
0.683,-2.37,0.0
0.597,-2.36,0.0
0.592,-2.35,0.0
0.601,-2.34,0.0
0.602,-2.33,0.0
0.597,-2.32,0.0
0.589,-2.31,0.0
0.584,-2.3,0.0
0.588,-2.29,0.0
0.579,-2.28,0.0
0.585,-2.27,0.0
0.606,-2.26,0.0
0.578,-2.25,0.0
0.631,-2.24,0.0
0.567,-2.23,0.0
0.61,-2.22,0.0
0.605,-2.21,0.0
0.608,-2.2,0.0
0.631,-2.19,0.0
0.619,-2.18,0.0
0.604,-2.17,0.0
0.584,-2.16,0.0
0.587,-2.15,0.0
0.576,-2.14,0.0
0.576,-2.13,0.0
0.546,-2.12,0.0
0.614,-2.11,0.0
0.615,-2.1,0.0
0.582,-2.09,0.0
0.578,-2.08,0.0
0.583,-2.07,0.0
0.62,-2.06,0.0
0.563,-2.05,0.0
0.595,-2.04,0.0
0.564,-2.03,0.0
0.589,-2.02,0.0
0.604,-2.01,0.0
0.574,-2.0,0.0
0.579,-1.99,0.0
0.583,-1.98,0.0
0.563,-1.97,0.0
0.593,-1.96,0.0
0.576,-1.95,0.0
0.568,-1.94,0.0
0.582,-1.93,0.0
0.578,-1.92,0.0
0.563,-1.91,0.0
0.558,-1.9,0.0
0.558,-1.89,0.0
0.546,-1.88,0.0
0.58,-1.87,0.0
0.556,-1.86,0.0
0.583,-1.85,0.0
0.595,-1.84,0.0
0.561,-1.83,0.0
0.584,-1.82,0.0
0.565,-1.81,0.0
0.565,-1.8,0.0
0.587,-1.79,0.0
0.579,-1.78,0.0
0.579,-1.77,0.0
0.574,-1.76,0.0
0.563,-1.75,0.0
0.566,-1.74,0.0
0.557,-1.73,0.0
0.571,-1.72,0.0
0.579,-1.71,0.0
0.567,-1.7,0.0
0.569,-1.69,0.0
0.579,-1.68,0.0
0.568,-1.67,0.0
0.562,-1.66,0.0
0.544,-1.65,0.0
0.561,-1.64,0.0
0.559,-1.63,0.0
0.567,-1.62,0.0
0.571,-1.61,0.0
0.577,-1.6,0.0
0.549,-1.59,0.0
0.576,-1.58,0.0
0.576,-1.57,0.0
0.555,-1.56,0.0
0.601,-1.55,0.0
0.554,-1.54,0.0
0.544,-1.53,0.0
0.557,-1.52,0.0
0.556,-1.51,0.0
0.553,-1.5,0.0
0.586,-1.49,0.0
0.542,-1.48,0.0
0.571,-1.47,0.0
0.551,-1.46,0.0
0.581,-1.45,0.0
0.572,-1.44,0.0
0.557,-1.43,0.0
0.55,-1.42,0.0
0.578,-1.41,0.0
0.551,-1.4,0.0
0.538,-1.39,0.0
0.558,-1.38,0.0
0.56,-1.37,0.0
0.559,-1.36,0.0
0.528,-1.35,0.0
0.581,-1.34,0.0
0.58,-1.33,0.0
0.584,-1.32,0.0
0.557,-1.31,0.0
0.534,-1.3,0.0
